name_th,name_en,price,pic,optional
เอสเพรสโซร้อน,Hot_Espresso,35,./image/hot/Hot_Espresso.GIF,y-n-n-n
คาปูชิโนร้อน,Hot_Cappuccino,40,./image/hot/Hot_Cappuccino.GIF,y-y-y-n
ลาเต้ร้อน,Hot_Latte,40,./image/hot/Hot_Latte.GIF,y-y-y-n
มอคค่าร้อน,Hot_Mocha,45,./image/hot/Hot_Mocha.GIF,y-y-y-n
ชาร้อน,Hot_Tea,30,./image/hot/Hot_Tea.GIF,y-y-y-n
ชาเขียวนมร้อน,Hot_Green_Tea_with_Milk,30,./image/hot/Hot_Green_Tea_with_Milk.GIF,y-y-y-n
ชานมร้อน,Hot_Milk_Tea,30,./image/hot/Hot_Milk_Tea.GIF,y-y-y-n
โกโก้ร้อน,Hot_Dark_chocolate,40,./image/hot/Hot_Dark_chocolate.GIF,y-y-y-n
นมร้อน,Hot_Fresh_Milk,30,./image/hot/Hot_Fresh_Milk.GIF,y-y-y-n
ช็อกโกแลตร้อน,Hot_Chocolate,40,./image/hot/Hot_Chocolate.GIF,y-y-y-n
