name_th,name_en,price,pic,optional
เอสเพรสโซเย็น,Ice_Espresso,40,./image/ice/Ice_Espresso.GIF,No_Sugar-Low_Sugar-Add_Sugar-No_Milk-Low_Milk-Add_Milk-Whip_Cream
คาปูชิโนเย็น,Ice_Cappuccino,45,./image/ice/Ice_Cappuccino.GIF,No_Sugar-Low_Sugar-Add_Sugar-No_Milk-Low_Milk-Add_Milk-Whip_Cream
ลาเต้เย็น,Ice_Latte,45,./image/ice/Ice_Latte.GIF,No_Sugar-Low_Sugar-Add_Sugar-No_Milk-Low_Milk-Add_Milk-Whip_Cream
มอคค่าร้อน,Ice_Mocha,50,./image/ice/Ice_Mocha.GIF,No_Sugar-Low_Sugar-Add_Sugar-No_Milk-Low_Milk-Add_Milk-Whip_Cream
ชาดำผสมน้ำผึ้งเย็น,Ice_Honey_Black_Coffee,30,./image/ice/Ice_Honey_Black_Coffee.GIF,No_Sugar-Low_Sugar-Add_Sugar-No_Milk-Low_Milk-Add_Milk-Whip_Cream
ชาดำผสมน้ำผึ้งมะนาว,Ice_Honey_Black_Coffee_Lemon,30,./image/ice/Ice_Honey_Black_Coffee_Lemon.GIF,No_Sugar-Low_Sugar-Add_Sugar-No_Milk-Low_Milk-Add_Milk-Whip_Cream
ชาเขียวนมเย็น,Ice_Green_Tea_with_Milk,35,./image/ice/Ice_Green_Tea_with_Milk.GIF,No_Sugar-Low_Sugar-Add_Sugar-No_Milk-Low_Milk-Add_Milk-Whip_Cream
ชานมเย็น,Ice_Milk_Tea,35,./image/ice/Ice_Milk_Tea.GIF,No_Sugar-Low_Sugar-Add_Sugar-No_Milk-Low_Milk-Add_Milk-Whip_Cream
ชามะนาวเย็น,Ice_Lemonade_Tea,35,./image/ice/Ice_Lemonade_Tea.GIF,No_Sugar-Low_Sugar-Add_Sugar-No_Milk-Low_Milk-Add_Milk-Whip_Cream
ชาดำเย็น,Ice_Black_Tea,35,./image/ice/Ice_Black_Tea.GIF,No_Sugar-Low_Sugar-Add_Sugar-No_Milk-Low_Milk-Add_Milk-Whip_Cream
ชาเขียวน้ำผึ้งเย็น,Ice_Matcha_Honey,40,./image/ice/Ice_Matcha_Honey.GIF,No_Sugar-Low_Sugar-Add_Sugar-No_Milk-Low_Milk-Add_Milk-Whip_Cream
โกโก้เย็น,Ice_Dark_chocolate,40,./image/ice/Ice_Dark_chocolate.GIF,No_Sugar-Low_Sugar-Add_Sugar-No_Milk-Low_Milk-Add_Milk-Whip_Cream
นมเย็น,Ice_Fresh_Milk,40,./image/ice/Ice_Fresh_Milk.GIF,No_Sugar-Low_Sugar-Add_Sugar-No_Milk-Low_Milk-Add_Milk-Whip_Cream
ช็อกโกแลตเย็น,Ice_Chocolate,45,./image/ice/Ice_Chocolate.GIF,No_Sugar-Low_Sugar-Add_Sugar-No_Milk-Low_Milk-Add_Milk-Whip_Cream
ลิ้นจี่เย็น,Ice_Lynchee_Juice,45,./image/ice/Ice_Lynchee_Juice.GIF,No_Sugar-Low_Sugar-Add_Sugar-No_Milk-Low_Milk-Add_Milk-Whip_Cream
สตอร์เบอร์รี่เย็น,Ice_Strawberry_juice,45,./image/ice/Ice_Strawberry_juice.GIF,No_Sugar-Low_Sugar-Add_Sugar-No_Milk-Low_Milk-Add_Milk-Whip_Cream
กิวี่เย็น,Ice_Kiwi_Juice,45,./image/ice/Ice_Kiwi_Juice.GIF,No_Sugar-Low_Sugar-Add_Sugar-No_Milk-Low_Milk-Add_Milk-Whip_Cream
